Date,Open,High,Low,Close
02/12/2021,"0.5164","0.5991","0.5160","0.5872"
02/11/2021,"0.5001","0.5349","0.4975","0.5164"
02/10/2021,"0.4704","0.5419","0.4546","0.5003"
02/09/2021,"0.4526","0.4904","0.4454","0.4697"
02/08/2021,"0.4213","0.4689","0.4135","0.4526"
02/07/2021,"0.4446","0.4520","0.3976","0.4215"
02/06/2021,"0.4447","0.4566","0.4285","0.4446"
02/05/2021,"0.4708","0.4808","0.4276","0.4447"
02/04/2021,"0.3944","0.4687","0.3812","0.4680"
02/03/2021,"0.3687","0.4155","0.3659","0.3944"
02/02/2021,"0.3906","0.4111","0.3441","0.3688"
02/01/2021,"0.4834","0.7520","0.3706","0.3886"
01/31/2021,"0.3998","0.5088","0.3887","0.4799"
01/30/2021,"0.2898","0.5131","0.2791","0.3977"
01/29/2021,"0.2625","0.3167","0.2605","0.2897"
01/28/2021,"0.2553","0.2652","0.2476","0.2627"
01/27/2021,"0.2666","0.2698","0.2442","0.2553"
01/26/2021,"0.2717","0.2717","0.2582","0.2664"
01/25/2021,"0.2714","0.2850","0.2690","0.2715"
01/24/2021,"0.2723","0.2778","0.2690","0.2716"
01/23/2021,"0.2743","0.2839","0.2659","0.2722"
01/22/2021,"0.2733","0.2780","0.2421","0.2737"
01/21/2021,"0.2937","0.3071","0.2695","0.2737"
01/20/2021,"0.3034","0.3114","0.2807","0.2945"
01/19/2021,"0.2823","0.3290","0.2823","0.3031"
01/18/2021,"0.2806","0.2882","0.2716","0.2822"
01/17/2021,"0.2796","0.2854","0.2685","0.2802"
01/16/2021,"0.2800","0.2960","0.2752","0.2780"
01/15/2021,"0.2930","0.3027","0.2624","0.2801"
01/14/2021,"0.3081","0.3097","0.2833","0.2926"
01/13/2021,"0.2974","0.3067","0.2847","0.3067"
01/12/2021,"0.2829","0.3095","0.2777","0.2985"
01/11/2021,"0.3150","0.3196","0.2540","0.2832"
01/10/2021,"0.3357","0.3658","0.2871","0.3147"
01/09/2021,"0.3066","0.3397","0.3036","0.3364"
01/08/2021,"0.3325","0.3445","0.2872","0.3067"
01/07/2021,"0.2475","0.3683","0.2468","0.3311"
01/06/2021,"0.2238","0.2738","0.2222","0.2472"
01/05/2021,"0.2305","0.2421","0.2195","0.2239"
01/04/2021,"0.2282","0.2618","0.2175","0.2303"
01/03/2021,"0.2219","0.2376","0.2154","0.2281"
01/02/2021,"0.2385","0.2400","0.2131","0.2235"
01/01/2021,"0.2253","0.2502","0.2160","0.2385"
12/31/2020,"0.2104","0.2284","0.2054","0.2250"
12/30/2020,"0.2180","0.2350","0.1923","0.2086"
12/29/2020,"0.2783","0.2825","0.1734","0.2185"
12/28/2020,"0.2837","0.3063","0.2762","0.2783"
12/27/2020,"0.3010","0.3100","0.2671","0.2840"
12/26/2020,"0.3185","0.3243","0.2842","0.3010"
12/25/2020,"0.2713","0.3828","0.2699","0.3214"
12/24/2020,"0.2630","0.3050","0.2010","0.2717"
12/23/2020,"0.4274","0.4530","0.2545","0.2630"
12/22/2020,"0.5266","0.5310","0.4063","0.4273"
12/21/2020,"0.5586","0.5688","0.5001","0.5279"
12/20/2020,"0.5910","0.5928","0.5613","0.5613"
12/19/2020,"0.5769","0.5980","0.5666","0.5901"
12/18/2020,"0.5863","0.6143","0.5514","0.5782"
12/17/2020,"0.5259","0.6580","0.5259","0.5860"
12/16/2020,"0.4740","0.5302","0.4373","0.5256"
12/15/2020,"0.4932","0.5071","0.4671","0.4740"
12/14/2020,"0.5128","0.5188","0.4900","0.4933"
12/13/2020,"0.5174","0.5275","0.4863","0.5125"
12/12/2020,"0.5800","0.5900","0.4857","0.5186"
12/11/2020,"0.5765","0.5840","0.5300","0.5768"
12/10/2020,"0.5920","0.5968","0.5546","0.5765"
12/09/2020,"0.5720","0.6049","0.5033","0.5940"
12/08/2020,"0.6028","0.6115","0.5643","0.5721"
12/07/2020,"0.6211","0.6262","0.5917","0.6027"
12/06/2020,"0.5809","0.6273","0.5757","0.6229"
12/05/2020,"0.5577","0.5963","0.5466","0.5808"
12/04/2020,"0.6298","0.6340","0.5450","0.5584"
12/03/2020,"0.6353","0.6422","0.6157","0.6304"
12/01/2020,"0.6459","0.6803","0.5800","0.6378"
11/30/2020,"0.6104","0.6647","0.6000","0.6466"
11/29/2020,"0.6275","0.6378","0.5834","0.6086"
11/28/2020,"0.5535","0.6490","0.5401","0.6267"
11/27/2020,"0.5290","0.5861","0.5050","0.5520"
11/26/2020,"0.6348","0.6517","0.4609","0.5195"
